,Company,Number of Application,Average Salary
1,Infosys,25405,81705
2,Capgemini,17479,93213
3,Tata Consultancy Services,13134,76099
4,IBM,12381,87378
5,Wipro,10607,72720
6,Accenture,9479,81585
7,Tech Mahindra (Americas),8615,75879
8,Deloitte Consulting,7645,122667
9,Cognizant Technology Solutions,5370,74628
10,Microsoft,5029,129610
11,Hcl America,4930,84040
12,Google,4897,129997
13,Ernst & Young,4625,98722
14,Ust Global,3170,69819
15,Larsen & Toubro Infotech,3092,76755
16,Amazon,2622,121850
17,Igate Technologies,2197,70209
18,L&T; Technology Services,1853,69648
19,Syntel Consulting,1847,71338
20,Jpmorgan Chase,1765,111283
21,Apple,1660,141294
22,Intel,1647,107428
23,Deloitte & Touche,1646,75705
24,Hexaware Technologies,1634,72336
25,Ntt Data,1253,94255
26,Kpmg,1246,96621
27,"Mastech, A Mastech Holdings Company",1232,94849
28,Pricewaterhousecoopers Advisory Services,1215,118509
29,Facebook,1167,145683
30,Pricewaterhousecoopers,1095,91619
31,Birlasoft,1069,60474
32,V-Soft Consulting Group,1045,80021
33,Htc Global Services,1001,68413
34,"Goldman, Sachs",988,117083
35,Bank Of America,960,111732
36,Virtusa,956,89969
37,Compunnel Software Group,953,68736
38,Wal-Mart Associates,893,116903
39,Salesforce.Com,863,117210
40,Oracle America,834,123577
41,Qualcomm Technologies,829,120531
42,Randstad Technologies,826,104710
43,Emc,823,113460
44,Populus Group,812,100375
45,Mindtree,807,75773
46,Ebay,797,137362
47,Cummins,797,80471
48,Mphasis,782,75840
49,Citibank,765,117181
50,Capgemini Financial Services Usa,750,93776
51,Ernst & Young,740,91965
52,Paypal,723,134666
53,Dell Marketing,720,92331
54,Yahoo!,710,142385
55,Cerner,705,74071
56,Linkedin,701,154089
57,Persistent Systems,699,79664
58,Ericsson,690,109227
59,Synechron,689,88152
60,Hcl Global Systems,687,81855
61,Capital One Services,670,107427
62,Syntel,667,91022
63,Fujitsu America,653,80585
64,Cisco Systems,642,127884
65,Cyient,637,67499
66,Deloitte Tax,611,69443
67,Kpit Infosystems,610,72596
68,Ipolarity,604,66737
69,American Express Travel Related Services,595,107113
70,Vedicsoft Solutions,581,69066
71,Gss Infotech Ct,576,66648
72,Tesla Motors,566,106705
73,Uber Technologies,565,124873
74,Diaspark,557,66218
75,Exilant Technologies Private,553,87126
76,University Of Michigan,550,67119
77,First Tek,543,65673
78,VM Ware,532,132616
79,Erp Analysts,520,68969
80,Sapient,515,109099
81,Marlabs,515,70804
82,Pyramid Technology Solutions,515,65403
83,Intone Networks,514,74810
84,Credit Suisse Securities (Usa),513,118214
85,Ciber,503,100649
86,The Mathworks,496,94153
87,Grandison Management,494,62422
88,Dell Usa,491,102891
89,Astir It Solutions,489,67172
90,System Soft Technologies,488,94190
91,Reliable Software Resources,475,62068
92,Cgi Technologies And Solutions,468,94014
93,Bloomberg,467,147203
94,Broadcom,466,123013
95,3i Infotech,466,64018
96,Kellton Tech,465,69640
97,Avco Consulting,456,72045
98,Citiustech,455,79389
99,Johns Hopkins University,449,74961
100,Yash Technologies,434,66446
